2308708,MORADANOVA,-38,364907,-5,096952
2308807,MORAUJO,-40,683599,-3,466363
2308906,MORRINHOS,-40,124179,-3,228831
2309003,MUCAMBO,-40,745280,-3,906030
2309102,MULUNGU,-38,993066,-4,299528
2309201,NOVAOLINDA,-39,679485,-7,084103
2309300,NOVARUSSAS,-40,565303,-4,706808
2309409,NOVOORIENTE,-40,774767,-5,533865
2309458,OCARA,-38,598538,-4,485067
2309508,OROS,-38,913596,-6,242799
2309607,PACAJUS,-38,467022,-4,170541
2309706,PACATUBA,-38,618299,-3,986120
2309805,PACOTI,-38,925889,-4,224765
2309904,PACUJA,-40,696736,-3,978394
2310001,PALHANO,-37,966235,-4,743945
2310100,PALMACIA,-38,845029,-4,148982
2310209,PARACURU,-39,029545,-3,411635
2310258,PARAIPABA,-39,148116,-3,436197
2310308,PARAMBU,-40,694207,-6,210336
2310407,PARAMOTI,-39,239466,-4,097432
2310506,PEDRABRANCA,-39,713938,-5,454686
2310605,PENAFORTE,-39,074128,-7,829915
2310704,PENTECOSTE,-39,267009,-3,796267
2310803,PEREIRO,-38,459136,-6,045077
2310852,PINDORETAMA,-38,300088,-4,027804
2310902,PIQUETCARNEIRO,-39,419406,-5,808570
2310951,PIRESFERREIRA,-40,646541,-4,242154
2311009,PORANGA,-40,926380,-4,743951
2311108,PORTEIRAS,-39,115331,-7,535746
2311207,POTENGI,-40,032133,-7,090179
2311231,POTIRETAMA,-38,157918,-5,721668
2311264,QUITERIANOPOLIS,-40,704489,-5,847009
2311306,QUIXADA,-39,011745,-4,963700
2311355,QUIXELO,-39,202294,-6,251212
2311405,QUIXERAMOBIM,-39,294354,-5,198405
2311504,QUIXERE,-37,990522,-5,068729
2311603,REDENCAO,-38,729571,-4,222958
2311702,RERIUTABA,-40,584612,-4,141568
2311801,RUSSAS,-37,975431,-4,939738
2311900,SABOEIRO,-39,904581,-6,536433
2311959,SALITRE,-40,464752,-7,284529
2312007,SANTANADOACARAU,-40,209463,-3,459775
2312106,SANTANADOCARIRI,-39,737980,-7,180898
2312205,SANTAQUITERIA,-40,153508,-4,333271
2312304,SAOBENEDITO,-40,864490,-4,044727
2312403,SAOGONCALODOAMARANTE,-38,972076,-3,605633
2312502,SAOJOAODOJAGUARIBE,-38,271941,-5,268631
2312601,SAOLUISDOCURU,-39,241606,-3,673009
2312700,SENADORPOMPEU,-39,375325,-5,589344
2312809,SENADORSA,-40,463792,-3,351790
2312908,SOBRAL,-40,348668,-3,688038
2313005,SOLONOPOLE,-39,008225,-5,726351
2313104,TABULEIRODONORTE,-38,129737,-5,243804
2313203,TAMBORIL,-40,319069,-4,833929
2313252,TARRAFAS,-39,758494,-6,682590
2313302,TAUA,-40,292625,-6,002999
2313351,TEJUCUOCA,-39,576826,-3,989712
2313401,TIANGUA,-40,991706,-3,722674
2313500,TRAIRI,-39,272232,-3,264420
2313559,TURURU,-39,434364,-3,595595
2313609,UBAJARA,-40,907144,-3,848491
2313708,UMARI,-38,701326,-6,647244
2313757,UMIRIM,-39,342384,-3,675562
2313807,URUBURETAMA,-39,508178,-3,623017
2313906,URUOCA,-40,561163,-3,313231
2313955,VARJOTA,-40,478993,-4,182822
2314003,VARZEAALEGRE,-39,298933,-6,791846
2314102,VICOSADOCEARA,-41,091629,-3,566013
